TransDate,TransactionDescription,Amount,Balance,Category
4-Apr,"Deposit Home Banking Transfer REF# 58451743....................  From HODGES,JUSTINE B 532694 Share 10",100,"1,735.26",TRANSFERS
5-Apr,Withdrawal Home Banking Transfer To Share 10....................  REF# 58457972,-200,"1,535.26",TRANSFERS
6-Apr,Deposit Home Banking Transfer From Share 10......................  REF# 58489900,75,"1,610.26",TRANSFERS
14-Apr,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,156.89,"1,767.15",INCOME/SALARY
28-Apr,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO DEP PRENOTIFICATION FROM UNIVERSITY OF CO,147.65,"1,914.80",INCOME/SALARY
30-Apr,"Deposit Dividend 0.050%........................................................  Annual Percentage Yield Earned 0.050% for period: 04/01/23 to 04/30/23 Ending Balance............................................................................. 1,914.87 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 2 of 10 No Strings Checking - 10 NO STRINGS CHECKING Dividends Earned YTD: 0.01 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (10) - Checks Cleared (0) - Withdrawals & Other Debits (107)= Ending Balance $1,114.39 $2,988.06 $0.00 $3,850.30 $252.15 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 1,114.39",0.07,"1,914.87",YIELD
1-Apr,Withdrawal Debit Card Visa Check...........................................  JIMMY JOHNS - 2924 COLORADO SPRI CO 5814,-9.97,"1,104.42",DINING
1-Apr,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*HY0X86PQ2 Amzn.com/bill WA 5942,-33.79,"1,070.63",SHOPPING
1-Apr,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0667R CO SPRIN CO SPRINGS CO 5542,-30.05,"1,040.58",Others
2-Apr,"04/01 Withdrawal Home Banking Transfer REF# 58361174..............  To HODGES,JUSTINE B 532694 Share 10",-15,"1,025.58",TRANSFERS
2-Apr,Withdrawal Debit Card Visa Check...........................................  FUZZYS TACO SHOP COLORA TIMNATH CO 5812,-32,993.58,Others
2-Apr,Withdrawal Debit Card Visa Check...........................................  PANDA EXPRESS #3558 FALCON CO 5814,-11.67,981.91,DINING
2-Apr,Withdrawal POS #309212425631...........................................  COSTCO WHSE #1030 COLORADO SPG CO 5300,-101.38,880.53,GROCERIES
2-Apr,Withdrawal POS #309216843545...........................................  AUTOZONE 3434 690 W GA COLORADO SPRI CO 5533,-19.34,861.19,SHOPPING
