TransDate,TransactionDescription,Amount,Balance
08/04,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,216.86,223.10
08/06,Withdrawal Home Banking Transfer To Share 10....................  REF# 62131774,-120.00,103.10
08/07,Withdrawal Transfer To Share 10............................................ ,-66.38,36.72
08/07,Withdrawal Transfer To Share 10............................................ ,-12.97,23.75
08/08,Withdrawal Transfer To Share 10............................................  DEP PRENOTIFICATION FROM Colorado Springs,-15.41,8.34
08/10,Withdrawal Transfer To Share 10............................................ ,-3.34,5.00
08/10,"Deposit Home Banking Transfer REF# 62237311....................  From HODGES,JUSTINE B 532694 Share 00",100.00,105.00
08/10,Withdrawal Home Banking Transfer To Share 10....................  REF# 62244036,-90.00,15.00
08/18,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,233.24,248.24
08/20,Deposit at ATM #000000007422.............................................  ENT CREDIT UNION 7020 CAMPUS DRIVE Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 2 of 13 Primary Savings - 00 PRIMARY SAVINGS (continued) TransDate EffDate TransactionDescription Amount Balance COLORADO SPRI CO,"1,225.00","1,473.24"
08/20,Deposit at ATM #000000007423.............................................  ENT CREDIT UNION 7020 CAMPUS DRIVE COLORADO SPRI CO,"1,630.00","3,103.24"
08/21,Withdrawal Home Banking Transfer To Share 10....................  REF# 62561047,-160.00,"2,943.24"
08/21,Withdrawal Home Banking Transfer To Share 10....................  REF# 62561103,-25.00,"2,918.24"
08/23,"Withdrawal Home Banking Transfer REF# 62611037..............  To HODGES,JUSTINE B 532694 Share 00",-500.00,"2,418.24"
08/23,Withdrawal Home Banking Transfer To Share 10....................  REF# 62611048,-350.00,"2,068.24"
08/24,Withdrawal Home Banking Transfer To Share 10....................  REF# 62642305,-130.00,"1,938.24"
08/24,Withdrawal Home Banking Transfer To Share 10....................  REF# 62651577,-215.00,"1,723.24"
08/25,Deposit ACH Colorado Springs................................................  TYPE: PR PAYMENT CO: Colorado Springs,113.47,"1,836.71"
08/26,Withdrawal Home Banking Transfer To Share 10....................  REF# 62713024,-600.00,"1,236.71"
08/27,Withdrawal Home Banking Transfer To Share 10....................  REF# 62734632,-200.00,"1,036.71"
08/31,"Deposit Dividend 0.050%........................................................  Annual Percentage Yield Earned 0.050% for period: 08/01/23 to 08/31/23 Ending Balance............................................................................. 1,036.74 No Strings Checking - 10 NO STRINGS CHECKING Dividends Earned YTD: 0.05 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (33) - Checks Cleared (0) - Withdrawals & Other Debits (110)= Ending Balance $150.42 $7,706.54 $0.00 $7,759.04 $97.92 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 150.42",0.03,"1,036.74"
08/01,"Deposit Home Banking Transfer REF# 61951582....................  From HODGES,JUSTINE B 532694 Share 10",57.00,207.42
08/01,"Deposit Home Banking Transfer REF# 61951681....................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 3 of 13 1111111111111111111111010011001100110111001110011000100010000001110000001101110011000001101011100010000001111100001111100011000011011000100110000000111111000101110010100100110111001010000100110101010101000011111011101011111010000111000000001100100101011011100011111110000011111100010011011100110011000001011111001000101011001110010000001100001100000111111010011001011110100101111010010010110010011110101101101001100111001011010000001100100111000110001000001010110101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance From HODGES,JUSTINE B 532694 Share 00",59.30,266.72
08/01,Withdrawal Adjustment Debit Card Credit Voucher.................  BOOTBARN.COM 888-440-2668 CA 5661,309.66,576.38
08/02,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TH6BW6D10 Amzn.com/bill WA 5942,-203.65,372.73
08/02,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TH7MR6D90 Amzn.com/bill WA 5942,-8.65,364.08
08/02,Withdrawal Home Banking Transfer To Share 11....................  REF# 61993259,-200.00,164.08
08/02,Recurring Withdrawal #321421106093...................................  Audible*TH6FO2M21 Amzn.com/bill NJ,-16.18,147.90
08/03,Withdrawal Debit Card Visa Check...........................................  McDonalds 26480 COLORADO SPRI CO 5814,-3.33,144.57
08/03,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-3.10,141.47
08/03,Recurring Withdrawal Debit Card Visa Check..........................  APPLE.COM/BILL 866-712-7753 CA 5818,-0.99,140.48
08/03,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0659R CO SPRIN CO SPRINGS CO 5541,-7.46,133.02
08/03,"Deposit Home Banking Transfer REF# 62036259....................  From HODGES,JUSTINE B 532694 Share 00",275.00,408.02
08/04,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,867.46,"1,275.48"
08/04,Withdrawal Home Banking Transfer To Share 11....................  REF# 62069132,-300.00,975.48
08/04,"Withdrawal Home Banking Transfer REF# 62069143..............  To HODGES,JUSTINE B 532694 Share 01",-100.00,875.48
08/04,"Withdrawal Home Banking Transfer REF# 62069166..............  To HODGES,JUSTINE B 532694 Share 11 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 2-7 AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 4 of 13 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance",-35.00,840.48
08/04,"Withdrawal Home Banking Transfer REF# 62069186..............  To HODGES,JUSTINE B 532694 Share 12",-100.00,740.48
08/04,Withdrawal Home Banking Transfer To Share 13....................  REF# 62069205,-140.00,600.48
08/05,Withdrawal Debit Card Visa Check...........................................  VENMO* Visa Direct NY 4829,-15.00,585.48
08/05,Withdrawal Debit Card Visa Check...........................................  CHICK-FIL-A #02342 COLO SPGS CO 5814,-18.48,567.00
08/06,Withdrawal Debit Card Visa Check...........................................  MENS WEARHOUSE #1307 COLORADO SPRI CO 5611,-65.40,501.60
08/06,Withdrawal Debit Card Visa Check...........................................  BAD DADDY’S BURGER BAR COLORADO SPRI CO 5812,-57.00,444.60
08/06,Withdrawal POS #321815699849...........................................  COSTCO WHSE #1014 COLORADO SPRI CO 5300,-104.43,340.17
08/06,Withdrawal POS #321819427209...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO 5411,-121.26,218.91
08/06,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TA8UX4E40 Amzn.com/bill WA 5942,-141.42,77.49
08/06,Deposit Home Banking Transfer From Share 00......................  REF# 62131774,120.00,197.49
08/06,Withdrawal Debit Card Visa Check...........................................  LEVELUPSMOOTHIEKING26 855-466-5585 MA 5812,-21.06,176.43
08/07,08/06 Withdrawal Debit Card Visa Check...........................................  GARDEN OF THE GODS LIQU COLORADO SPRI CO 5921,-22.59,153.84
08/07,Withdrawal Debit Card Visa Check...........................................  Amazon.com*TA3GE9HQ2 Amzn.com/bill WA 5942,-94.36,59.48
08/07,Recurring Withdrawal Debit Card Visa Check..........................  COOKBOOK MOUNT COOLUM AU 5817,-1.49,57.99
08/07,Recurring Withdrawal Card Fee...............................................  VISA INTERNATIONAL SERVICE ASSESSMENT Date 08/07/23 W/D PRENOTIFICATION FROM SAFECO INSURANCE,-0.01,57.98
08/07,Withdrawal NSF Fee.................................................................  In the amount $275.00 SAFECO INS. CO.,-30.00,27.98
08/07,Deposit Transfer From Share 00..............................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 5 of 13 1111111111111111111111010011001100110001001110011000100010000001110000001101110011000001101011100010000001000100001111100011000000111000100110000000010001000101110010100111110111001010000100110001010101000011111011110111111010000111010011011101100101011011010111111010000011110100100001001100110000111111011111001000001000010011010000001101111011010111111010110101000100000101010010000100100110011100110110011100100111000110110001011100110111000110001000101011010101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,66.38,94.36
08/07,Withdrawal Debit Card Visa Check...........................................  Amazon.com*TA5T87TQ1 Amzn.com/bill WA 5942,-94.36,0.00
08/07,Deposit Transfer From Share 00.............................................. ,12.97,12.97
08/07,Withdrawal POS #321921031047...........................................  PETCO 1472 COLORADO SPRI CO 5995,-12.97,0.00
08/08,Deposit Transfer From Share 00.............................................. ,15.41,15.41
08/08,Withdrawal Debit Card Visa Check...........................................  TARGET 00022210 COLORADO SPRI CO 5411,-15.41,0.00
08/08,"Deposit Home Banking Transfer REF# 62179031....................  From HODGES,JUSTINE B 532694 Share 00",50.00,50.00
08/08,Deposit Home Banking Transfer From Share 13......................  REF# 62191909,75.00,125.00
08/09,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TA0RF85F1 Amzn.com/bill WA 5942,-21.88,103.12
08/09,Withdrawal Debit Card Visa Check...........................................  CO E-GOV SERVICES EMV 303-534-3468 CO 9399,-2.50,100.62
08/09,"Deposit Home Banking Transfer REF# 62204653....................  From HODGES,JUSTINE B 532694 Loan 01",300.00,400.62
08/09,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TA75J5I52 Amzn.com/bill WA 5942,-7.73,392.89
08/09,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0659R CO SPRIN CO SPRINGS CO 5542,-70.02,322.87
08/09,Withdrawal Debit Card Visa Check...........................................  SQ *K BARBER NEXT LEVEL Colorado Spri CO 7230,-40.50,282.37
08/09,Withdrawal Debit Card Visa Check...........................................  VENMO* Visa Direct NY 4829,-100.00,182.37
08/09,Withdrawal Debit Card Visa Check...........................................  PP*DUTCHBROSLL GRANTS PASS OR 5499,-14.05,168.32
08/10,08/09 Withdrawal Debit Card Visa Check...........................................  PRICELN*COURTYARD BY M 203-299-8000 CT 4722 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 3-7 AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 6 of 13 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,-139.70,28.62
08/10,Deposit Transfer From Share 00..............................................  KUM&GO 0667R CO SPRIN CO SPRINGS CO 5542,3.34,31.96
08/10,Deposit Home Banking Transfer From Share 13......................  REF# 62237470,65.00,56.96
08/10,Withdrawal Debit Card Visa Check...........................................  ULTA #779 COLORADO SPRI CO 5977,-47.95,9.01
08/10,Deposit Home Banking Transfer From Share 00......................  REF# 62244036,90.00,99.01
08/10,"Deposit Home Banking Transfer REF# 62246273....................  From HODGES,JUSTINE B 532694 Share 00",50.00,149.01
08/11,Withdrawal Debit Card Visa Check...........................................  SUMUP *TENACIOUS SPRAY COLORADO SPRI CO 7230,-86.25,62.76
08/11,Withdrawal Debit Card Visa Check...........................................  CO DRIVER SERVICES DENVER CO 9399,-32.33,30.43
08/11,Deposit ACH Colorado Springs................................................  TYPE: PR PAYMENT CO: Colorado Springs,"1,318.98","1,349.41"
08/11,Withdrawal Home Banking Transfer To Share 11....................  REF# 62265767,-300.00,"1,049.41"
08/11,Withdrawal Home Banking Transfer To Share 13....................  REF# 62265789,-160.00,889.41
08/11,"Withdrawal Home Banking Transfer REF# 62265931..............  To HODGES,JUSTINE B 532694 Share 11",-70.00,819.41
08/11,"Withdrawal Home Banking Transfer REF# 62265952..............  To HODGES,JUSTINE B 532694 Share 01",-150.00,669.41
08/11,"Withdrawal Home Banking Transfer REF# 62266000..............  To HODGES,JUSTINE B 532694 Share 12",-100.00,569.41
08/11,Withdrawal Debit Card Visa Check...........................................  TARGET 00015016 COLORADO SPRI CO 5411,-16.73,552.68
08/11,Recurring Withdrawal #322320700689...................................  ADOBE CREATIVE CLOUD 408-536-6000 CA,-20.60,532.08
08/11,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-3.10,528.98
08/12,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 7 of 13 1111111111111111111111010011001100110011001110011000100010010001110000001101110011000001101011100010000001001100001111100011000010011000100110000000010001000101110010100101010111001010000100011111010101000011111001101011111010000111110000011101100101011001011111111010000011101000011111011100110011000011011111001000001101001011110001011110101010001111111111101111111111000100000011111001110111011000110101001100011111001010010010010100110111000010001001001011010101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance ULTA #133 COLORADO SPRI CO 5977,-32.46,496.52
08/12,Withdrawal Debit Card Visa Check...........................................  IN N OUT BURGER 359 COLORADO SPRI CO 5814,-14.31,482.21
08/13,Withdrawal POS #322500936784...........................................  SEI 33042 8750 S YOSEMITE US LONE TREE CO 5542,-74.05,408.16
